R2,64.77,13.46,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,156.21,43.18,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.21,44.45,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,125.73,39.37,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,160.02,6.35,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,90.17,59.69,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.31,11.43,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,69.34,15.24,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.02,48.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,40.64,28.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,38.10,28.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,34.54,28.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,66.04,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.02,108.95,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.32,108.19,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.63,49.53,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.71,108.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,68.58,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.72,108.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.75,11.42,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.77,11.43,0.00,,SJ
TP1,15.01,78.74,0.00,TPTP20R,TP20R
TP10,38.10,6.35,0.00,TPTP20R,TP20R
TP11,62.23,25.40,0.00,TPTP20R,TP20R
TP12,58.42,21.59,0.00,TPTP20R,TP20R
TP13,68.58,90.17,0.00,TPTP20R,TP20R
TP14,110.49,41.91,0.00,TPTP20R,TP20R
TP15,20.32,33.02,0.00,TPTP20R,TP20R
TP16,147.32,24.13,0.00,TPTP20R,TP20R
TP17,82.55,20.32,0.00,TPTP20R,TP20R
TP2,17.55,76.20,0.00,TPTP20R,TP20R
TP3,132.08,41.91,0.00,TPTP20R,TP20R
TP4,153.67,11.43,0.00,TPTP20R,TP20R
TP5,7.62,43.18,0.00,TPTP20R,TP20R
TP6,30.48,55.88,0.00,TPTP20R,TP20R
TP7,52.07,36.83,0.00,TPTP20R,TP20R
TP8,50.80,25.40,0.00,TPTP20R,TP20R
TP9,11.76,78.18,0.00,TPTP20R,TP20R
U1,38.10,54.61,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.96,55.88,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,80.01,54.61,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,134.62,44.45,0.00,MAX17048G+T10,SON50P200X200X80-9N
